Player,Age,Team,Games Started,Record,Completions,Attempts,Completion Percentage,Touchdowns Thrown,Interceptions Thrown,Yards per Pass Attempt,Yards per Completion,Yards per Game,Rating,QB Rating,Sacks Taken,4th Quarter Comebacks,Game Winning Drives
Joe Burrow,28,CIN,16,8-8-0,423,606,69.8,42,8,7.7,11,290.1,109.8,76.7,44,1,2
Baker Mayfield,29,TAM,16,9-7-0,386,538,71.7,39,15,8,11.1,267.4,107.6,59.5,39,1,1
Sam Darnold,27,MIN,16,14-2-0,343,504,68.1,35,12,8.2,12.1,259.6,106.4,63.5,46,3,5
Geno Smith,34,SEA,16,9-7-0,387,551,70.2,17,15,7.4,10.6,256.1,90.5,53,48,3,3
Jared Goff,30,DET,15,13-2-0,337,472,71.4,33,10,8.7,12.2,273,112.2,66.4,27,4,4
Lamar Jackson,27,BAL,16,11-5-0,300,442,67.9,39,4,8.9,13.2,247.2,121.6,77.9,23,2,2
Patrick Mahomes,29,KAN,16,15-1-0,392,581,67.5,26,11,6.8,10,245.5,93.5,68.5,36,5,7
Matthew Stafford,36,LAR,16,10-6-0,340,517,65.8,20,8,7.3,11.1,235.1,93.7,64.9,28,3,5
Josh Allen,28,BUF,16,13-3-0,307,483,63.6,28,6,7.7,12.2,233.2,101.4,76.8,14,0,2
C.J. Stroud,23,HOU,16,9-7-0,330,526,62.7,19,12,7,11.1,229.8,86,49.1,52,1,2
Aaron Rodgers,41,NYJ,16,4-12-0,345,548,63,24,10,6.6,10.5,226.4,89.1,48.2,37,2,3
Kyler Murray,27,ARI,16,7-9-0,347,506,68.6,17,11,7.1,10.4,225.6,91.1,67,30,3,3
Jayden Daniels,24,WAS,16,11-5-0,325,468,69.4,25,9,7.5,10.9,220.6,101.2,72.3,43,4,4
Justin Herbert,26,LAC,16,10-6-0,304,468,65,21,3,7.5,11.6,220.3,99.9,61.7,40,1,2
Kirk Cousins,36,ATL,14,7-7-0,303,453,66.9,18,16,7.7,11.6,250.6,88.6,51.7,28,3,3
Brock Purdy,25,SFO,14,6-8-0,273,420,65,17,10,8.3,12.8,249.1,94.4,65.9,29,1,1
Bo Nix,24,DEN,16,9-7-0,350,538,65.1,25,12,6.4,9.9,215.9,89.2,54,24,3,3
Caleb Williams,23,CHI,16,4-12-0,330,533,61.9,19,6,6.4,10.3,212.1,87.4,45.7,67,1,0
Jordan Love,26,GNB,14,9-5-0,261,413,63.2,25,11,8,12.7,237.1,97.3,69.6,14,2,2
Jalen Hurts,26,PHI,15,12-3-0,248,361,68.7,18,5,8,11.7,193.5,103.7,66,38,3,4
Tua Tagovailoa,26,MIA,11,6-5-0,291,399,72.9,19,7,7.2,9.9,260.6,101.4,60.1,21,2,2
Russell Wilson,36,PIT,10,6-4-0,197,305,64.6,15,5,7.7,11.8,233.4,97.4,52.9,29,1,1
Drake Maye,22,NWE,11,2-9-0,225,337,66.8,15,10,6.8,10.1,189.7,88.3,58.9,33,0,0
Bryce Young,23,CAR,11,3-8-0,209,350,59.7,12,9,6.1,10.3,165.5,78.2,48,29,1,3
Derek Carr,33,NOR,10,5-5-0,189,279,67.7,15,5,7.7,11.3,214.5,101,64.1,8,0,1
Jameis Winston,30,CLE,7,2-5-0,181,296,61.1,13,12,7.2,11.7,176.8,80.6,56.2,24,2,2
Daniel Jones,27,NYG,10,2-8-0,216,341,63.3,8,7,6.1,9.6,207,79.4,47.6,29,0,0
Trevor Lawrence,25,JAX,10,2-8-0,172,284,60.6,11,7,7.2,11.9,204.5,85.2,58.6,18,0,1
Gardner Minshew II,28,LVR,9,2-7-0,203,306,66.3,9,10,6.6,9.9,201.3,81,37.8,29,1,1
Dak Prescott,31,DAL,8,3-5-0,185,286,64.7,11,8,6.9,10.7,247.3,86,46.3,21,1,1
Will Levis,25,TEN,11,2-9-0,181,284,63.7,12,12,6.7,10.6,174.2,79.8,30.1,40,1,1
Cooper Rush,31,DAL,8,4-4-0,187,308,60.7,12,5,6,9.9,153.7,83.8,40.3,13,0,0
Anthony Richardson,22,IND,11,6-5-0,126,264,47.7,8,12,6.9,14.4,164.9,61.6,46.6,14,2,3
